0,0,0
0,-0.3,0
0,-0.6,0
0,-0.9,0
0,0,0
0.15,0,0
0.3,0,0
0.45,0,0
0.45,0,0
0.55,-0.1,0
0.55,-0.3,0
0.45,-0.45,0
0.45,-0.45,0
0.3,-0.45,0
0.15,-0.45,0
0,-0.45,0
1,0,0
1,-0.3,0
1,-0.6,0
1,-0.9,0
1,-0.3,0
1.1,-0.2,0
1.25,-0.2,0
1.35,-0.3,0
1.35,-0.3,0
1.35,-0.5,0
1.35,-0.7000000000000001,0
1.35,-0.9,0
2.45,-0.45,0
2.45,-0.3125,0
2.0625,-0.2,0
1.9500000000000002,-0.45,0
1.9500000000000002,-0.45,0
1.9500000000000002,-0.5875,0
2.3375000000000004,-0.7,0
2.45,-0.45,0
3.35,-0.2,0
3.35,-0.1,0
3.15,0,0
3,-0.2,0
3,-0.2,0
3,-0.45,0
3,-0.7000000000000001,0
3.15,-0.9,0
3.15,-0.9,0
3.25,-0.9,0
3.35,-0.8,0
3.35,-0.7000000000000001,0
3.05,-0.45,0
3.15,-0.45,0
3.25,-0.45,0
3.3,-0.45,0
4,-0.45,0
4,-0.55,0
4,-0.75,0
4,-0.9,0
4,-0.45,0
4.1,-0.3,0
4.25,-0.3,0
4.35,-0.45,0
4.35,-0.45,0
4.35,-0.6,0
4.35,-0.75,0
4.35,-0.9,0
5.05,-0.35000000000000003,0
5.05,-0.55,0
5.05,-0.75,0
5.05,-0.9,0
5.08,-0.15,0
5.08,-0.12,0
5.05,-0.1,0
5.02,-0.15,0
5.02,-0.15,0
5.02,-0.18,0
5.05,-0.2,0
5.08,-0.15,0
6,-0.45,0
6.08,-0.5700000000000001,0
6.22,-0.73,0
6.3,-0.9,0
6.3,-0.45,0
6.22,-0.5700000000000001,0
6.08,-0.73,0
6,-0.9,0
